unique_game_id,season,winner,loser,home_final,away_final,max_deficit,max_deficit_min_remaining,max_deficit_period,comeback_at,worst_probability
301-2014-15-6659,2014-15,Oklahoma,Illinois,78,76,11,4.133333333333334,2,home,0.0142857142857142
8-2020-21-12641,2020-21,Alabama,Oklahoma St.,72,76,17,15.783333333333333,3,away,0.0144927536231884
522-2019-20-10586,2019-20,Oklahoma,Oklahoma St.,75,77,13,3.7,4,away,0.0202020202020202
703-2014-15-8274,2014-15,West Virginia,Texas,76,69,14,8.95,2,home,0.0232558139534883
518-2023-24-20226,2023-24,Duke,Ohio St.,63,75,16,25.116666666666667,2,away,0.0238095238095238
703-2009-10-3009,2009-10,Oklahoma State,Texas,73,72,16,17.866666666666667,2,home,0.024390243902439
334-2014-15-1682,2014-15,Kentucky,#7/7 Louisville,68,77,16,26.733333333333334,1,away,0.0256410256410256
257-2022-23-23585,2022-23,Georgia,Wisconsin,68,60,20,11.966666666666667,3,home,0.0256410256410256
697-2009-10-4710,2009-10,Oklahoma State,Texas A&M,63,67,14,12.933333333333334,2,away,0.0275229357798165
257-2022-23-23618,2022-23,West Virginia,Georgia,45,49,16,27.983333333333334,2,away,0.03125
334-2019-20-6939,2019-20,Louisville,Kentucky,66,67,10,13.233333333333333,3,away,0.0357142857142857
697-2007-08-583,2007-08,Oklahoma State,Texas A&M,58,61,9,6.433333333333334,2,away,0.0434782608695652
587-2018-19-7406,2018-19,Drake,Rutgers,59,69,15,20.366666666666667,2,away,0.0442477876106194
433-2009-10-5588,2009-10,Ohio State,Ole Miss,77,79,10,2.966666666666667,2,away,0.0465116279069767
490-2016-17-10683,2016-17,Lsu,NC State,58,59,11,16.983333333333334,3,away,0.0490196078431372
550-2022-23-4552,2022-23,Portland St.,Seattle U,73,80,5,0.6333333333333333,4,away,0.05
522-2020-21-11386,2020-21,Oklahoma,Texas,63,68,13,15.7,3,away,0.054054054054054
367-2012-13-8562,2012-13,Kentucky,Louisville,47,48,14,15.133333333333333,2,away,0.054054054054054
742-2022-23-25195,2022-23,Lsu,Virginia Tech,72,79,12,15.666666666666666,3,away,0.054054054054054
521-2017-18-7260,2017-18,Oklahoma State,West Virginia,69,79,14,24.383333333333333,2,away,0.0588235294117647
37-2023-24-21318,2023-24,Auburn,Rutgers,56,76,13,33.46666666666667,1,away,0.0638297872340425
518-2024-25-21239,2024-25,Tennessee,Ohio St.,67,82,11,33.81666666666667,1,away,0.0638297872340425
311-2023-24-17181,2023-24,Iowa St.,Maryland,93,86,20,21.466666666666665,2,home,0.0666666666666666
700-2019-20-14786,2019-20,Texas,Texas Tech,66,81,11,25.283333333333335,2,away,0.07
648-2015-16-8773,2015-16,#14/15 Syracuse,South Carolina,72,80,13,21.366666666666667,2,away,0.0727272727272727
