deficit_bucket,time_bucket,venue,n_games,n_wins,n_observations,trailing_team_win_pct,ci_lower,ci_upper,adequate_sample
1,26,away,979,394,1027,0.4024514811031665,0.3721714180198791,0.43349411343503697,True
1,27,away,1012,399,1051,0.3942687747035573,0.36461355184188515,0.4247236834121151,True
1,28,away,1013,403,1041,0.39782823297137215,0.36812763185269276,0.4283008384223234,True
1,29,away,979,395,1010,0.4034729315628192,0.3731762923488998,0.434524155007012,True
1,30,away,1220,493,1279,0.40409836065573773,0.3769046076117907,0.4318941781134209,True
1,31,away,1175,479,1230,0.4076595744680851,0.3799069417992504,0.43601404368344715,True
1,32,away,1301,508,1368,0.39046887009992315,0.36431850105575414,0.4172641830033683,True
1,33,away,1357,536,1417,0.3949889462048637,0.36931043970598004,0.42126033649604083,True
1,34,away,1476,581,1538,0.39363143631436315,0.36901392436334834,0.41880120395849363,True
1,35,away,1671,660,1743,0.39497307001795334,0.37180063586511075,0.41862730669375564,True
1,36,away,1843,729,1923,0.3955507325013565,0.3734660443510485,0.41806994877364595,True
1,37,away,1977,792,2060,0.4006069802731411,0.37921913570206184,0.42238034605357183,True
1,38,away,2040,814,2121,0.3990196078431373,0.3779780862990191,0.4204407344158544,True
1,39,away,1145,427,1162,0.37292576419213974,0.34538362728289884,0.40131774564788636,True
2,0.0-0.5,away,860,80,1015,0.09302325581395349,0.07537861252893027,0.11428764109904968,True
2,0.5-1.0,away,395,63,411,0.15949367088607594,0.12669064862625498,0.19885613485871748,True
2,1.0-1.5,away,362,84,368,0.23204419889502761,0.19150885604301976,0.2782069991248999,True
2,1.5-2.0,away,366,94,372,0.2568306010928962,0.21475866909563018,0.3039542069031757,True
2,2,away,669,200,725,0.29895366218236175,0.26549055662521237,0.33471252237584825,True
2,3,away,602,164,636,0.2724252491694352,0.23838706941046567,0.30934950067650097,True
2,4,away,629,199,673,0.3163751987281399,0.28123853247175973,0.3537412160150653,True
2,5,away,618,211,658,0.3414239482200647,0.3051201441067999,0.3796870479498268,True
2,6,away,594,210,625,0.35353535353535354,0.31614262606981336,0.39281038088052267,True
2,7,away,663,238,697,0.358974358974359,0.32336827670325685,0.39620530718833,True
2,8,away,665,215,701,0.3233082706766917,0.28886007040948314,0.3597861860434648,True
2,9,away,576,198,602,0.34375,0.3061117354347495,0.3834586575829298,True
2,10,away,765,253,820,0.330718954248366,0.29829792120901666,0.36483164930329703,True
2,11,away,756,252,814,0.3333333333333333,0.3006465892439479,0.3677053409478183,True
2,12,away,762,263,818,0.3451443569553806,0.31224089082768897,0.3796013909183013,True
