deficit_bucket,time_bucket,venue,n_games,n_wins,n_observations,trailing_team_win_pct,ci_lower,ci_upper,adequate_sample
1,23,away,2372,942,2484,0.3971332209106239,0.37762333226359857,0.416975768955944,True
1,24,away,2518,975,2617,0.3872120730738681,0.3683711578874537,0.4063966149972508,True
1,25,away,2538,940,2661,0.37037037037037035,0.35179188085444496,0.3893406901129985,True
1,26,away,2656,1030,2783,0.3878012048192771,0.36944518723282205,0.4064813190674027,True
1,27,away,2800,1053,2919,0.37607142857142856,0.35831035347834717,0.39417209774143647,True
1,28,away,2725,1002,2854,0.36770642201834863,0.34980010645789594,0.38598521724869084,True
1,29,away,2744,1044,2845,0.380466472303207,0.362479714961097,0.3987874556065223,True
1,30,away,3349,1276,3520,0.381009256494476,0.36470663335941944,0.39758455271987525,True
1,31,away,3404,1278,3591,0.3754406580493537,0.3593222123040451,0.39183993091294006,True
1,32,away,3672,1302,3859,0.3545751633986928,0.3392612302607163,0.3701930617849476,True
1,33,away,3767,1414,3952,0.3753650119458455,0.3600361806321391,0.3909477906913978,True
1,34,away,4115,1488,4319,0.36160388821385175,0.3470590202520212,0.3764069173552905,True
1,35,away,4701,1625,4918,0.34567113380131886,0.33220675915204323,0.3593875338417952,True
1,36,away,5171,1834,5431,0.35467027654225486,0.3417427250787008,0.36781360221062137,True
1,37,away,5610,1956,5881,0.34866310160427805,0.33630009747628536,0.3612332280097775,True
1,38,away,5681,2016,5944,0.3548671008625242,0.3425266807047831,0.3674036716202491,True
1,39,away,3496,1116,3571,0.31922196796338675,0.3039743690781886,0.3348664287453473,True
2,0.0-0.5,away,2294,218,2746,0.0950305143853531,0.08369775557867482,0.10771735327826296,True
2,0.5-1.0,away,1102,166,1146,0.15063520871143377,0.13073157058948287,0.17296617418698423,True
2,1.0-1.5,away,995,222,1013,0.22311557788944725,0.19833885578366423,0.2500221255771442,True
2,1.5-2.0,away,971,241,984,0.2481977342945417,0.2220549900226721,0.27632505448917477,True
2,2,away,1771,493,1907,0.27837380011293056,0.25799604105772694,0.2997109678381656,True
2,3,away,1677,457,1790,0.272510435301133,0.25173784361652046,0.2943228916722778,True
2,4,away,1701,514,1800,0.30217519106408,0.28081840097518906,0.32442351710095374,True
2,5,away,1689,548,1788,0.32445233866193013,0.3025447671532242,0.34715665795353123,True
2,6,away,1689,590,1790,0.3493191237418591,0.3269471344372704,0.3723749994233342,True
2,7,away,1778,603,1866,0.3391451068616423,0.3175071622219203,0.3614766486847283,True
2,8,away,1809,605,1906,0.33443891652846874,0.3130684901907623,0.35651102519546896,True
2,9,away,1628,546,1703,0.3353808353808354,0.31285786327155873,0.3586788839225318,True
2,10,away,1982,667,2126,0.3365287588294652,0.3160596985579632,0.3576302875919896,True
2,11,away,2036,653,2174,0.3207269155206287,0.3008060006977531,0.3413230744225896,True
2,12,away,2025,691,2179,0.3412345679012346,0.32090182667957134,0.3621685520035155,True
2,13,away,1992,701,2134,0.35190763052208834,0.33123872336439,0.37314663467203935,True
2,14,away,2006,672,2114,0.3349950149551346,0.3146728849437504,0.35594792417871973,True
2,15,away,2081,734,2196,0.35271504084574723,0.33247399415958717,0.3734988720763896,True
2,16,away,2177,794,2287,0.3647220946256316,0.34475640022980547,0.38516437897763434,True
2,17,away,2156,766,2310,0.35528756957328383,0.3353588140004391,0.37573111037179263,True
2,18,away,2136,796,2257,0.37265917602996257,0.3523997679729605,0.3933758071911077,True
2,19,away,1852,686,1914,0.37041036717062636,0.34870566987295304,0.39265156664981926,True
2,20,away,2426,860,2573,0.35449299258037925,0.33570117252568665,0.3737449082394134,True
2,21,away,2487,877,2631,0.3526336952151186,0.3340958361749944,0.37162611740085727,True
2,22,away,2378,817,2516,0.3435660218671152,0.3247444839066247,0.36289217505507965,True
2,23,away,2463,898,2590,0.3645960211124645,0.345811717534801,0.3838020525589092,True
2,24,away,2565,863,2707,0.3364522417153996,0.31842322069889584,0.3549704210110485,True
2,25,away,2611,888,2751,0.3400995787054768,0.32217465876035645,0.3584943347266677,True
2,26,away,2649,899,2785,0.3393733484333711,0.32158600615861616,0.3576259000479209,True
2,27,away,2776,947,2910,0.3411383285302594,0.32373233998527057,0.3589833946091035,True
2,28,away,2875,950,2996,0.33043478260869563,0.3134770588724907,0.3478450506871322,True
2,29,away,2760,954,2854,0.3456521739130435,0.3281348099750482,0.36359860919050746,True
2,30,away,3272,1070,3462,0.3270171149144254,0.3111536499219528,0.3432862961364891,True
2,31,away,3462,1146,3625,0.3310225303292894,0.3155416941442862,0.34687796173381275,True
2,32,away,3726,1254,3926,0.3365539452495974,0.32155640276157454,0.3518881746167249,True
2,33,away,3910,1264,4082,0.32327365728900254,0.30879243368318293,0.33810180955854646,True
2,34,away,4098,1328,4275,0.32406051732552466,0.3099013595545848,0.33854922907857926,True
2,35,away,4724,1511,4954,0.31985605419136326,0.3067061962475567,0.3332986634753241,True
2,36,away,5355,1671,5621,0.31204481792717087,0.29977347161565426,0.32458564360805375,True
2,37,away,6291,2063,6599,0.32792878715625495,0.3164359109130072,0.3396316857680593,True
2,38,away,7715,2465,8125,0.31950745301360983,0.30919452728495184,0.3300000378684515,True
2,39,away,12471,3810,12935,0.3055087803704595,0.29748524316000124,0.3136521038665133,True
3,0.0-0.5,away,2634,94,3370,0.03568716780561883,0.029251740989559318,0.04347499135100276,True
3,0.5-1.0,away,1215,96,1291,0.07901234567901234,0.0651366516689236,0.09554181549202659,True
3,1.0-1.5,away,958,123,973,0.12839248434237996,0.10868321191709214,0.15107016119548686,True
3,1.5-2.0,away,954,153,972,0.16037735849056603,0.13846030478815155,0.1850186503960877,True
3,2,away,1742,315,1873,0.18082663605051666,0.16346132696771903,0.19959658160772104,True
3,3,away,1656,358,1775,0.21618357487922704,0.1970260899846033,0.2366548106507344,True
3,4,away,1704,411,1813,0.24119718309859156,0.22148094371066498,0.2620777188725629,True
3,5,away,1662,403,1767,0.24247894103489773,0.22248290734525245,0.26366271418322906,True
3,6,away,1692,452,1774,0.26713947990543735,0.24660111358218614,0.2887328468537413,True
3,7,away,1686,440,1785,0.2609727164887307,0.24056982193257326,0.2824623959983855,True
3,8,away,1831,543,1921,0.2965592572364828,0.276081822672302,0.3178885778243948,True
3,9,away,1604,480,1677,0.29925187032418954,0.2773425756747906,0.3221204560069373,True
3,10,away,2039,584,2196,0.2864149092692496,0.26720778114578436,0.3064253385243849,True
3,11,away,2093,598,2267,0.2857142857142857,0.2667665090670205,0.3054472432736427,True
3,12,away,2061,602,2200,0.29209121785541,0.272860466064529,0.3120955906131357,True
3,13,away,1998,590,2121,0.2952952952952953,0.2757007000661044,0.315675560673007,True
3,14,away,2028,618,2146,0.3047337278106509,0.2850849092348445,0.32512092570819445,True
3,15,away,2059,634,2190,0.30791646430305974,0.28834961367192036,0.32819874370074464,True
3,16,away,2130,655,2254,0.3075117370892019,0.288275240563655,0.32744131496698986,True
3,17,away,2257,693,2398,0.3070447496677005,0.2883557493323292,0.32638948536257384,True
3,18,away,2165,699,2280,0.3228637413394919,0.30349659410940255,0.34285840018801417,True
3,19,away,1860,586,1926,0.3150537634408602,0.2943417301165956,0.33652818930144934,True
3,20,away,2417,775,2587,0.3206454282167977,0.3023355418939455,0.3395245451105079,True
3,21,away,2461,769,2602,0.31247460381958553,0.29446613147757666,0.3310676147883091,True
3,22,away,2484,768,2628,0.30917874396135264,0.2913103193263387,0.3276364817883303,True
3,23,away,2446,785,2561,0.3209321340964841,0.30272448697264964,0.3397013743565075,True
3,24,away,2442,723,2553,0.29606879606879605,0.2782935707222337,0.3144846369916263,True
3,25,away,2609,767,2733,0.2939823687236489,0.2768136497170038,0.311756893556649,True
3,26,away,2645,814,2772,0.30775047258979205,0.29044951225714705,0.32560906972827625,True
3,27,away,2689,813,2797,0.3023428783934548,0.285275676599949,0.3199740343373745,True
3,28,away,2794,854,2915,0.30565497494631355,0.2888491709740761,0.3229944730692464,True
3,29,away,2546,810,2630,0.31814611154752553,0.30033968176482956,0.33650050470008647,True
3,30,away,3156,1004,3330,0.3181242078580482,0.3021042536678615,0.3345863956355721,True
