deficit_bucket,time_bucket,venue,n_games,n_wins,n_observations,trailing_team_win_pct,ci_lower,ci_upper,adequate_sample
2,15,away,46,13,48,0.2826086956521739,0.1732404154491407,0.42548835730293777,True
2,16,away,52,19,55,0.36538461538461536,0.2480051371130184,0.5012857141519882,True
2,17,away,55,19,56,0.34545454545454546,0.23362533364154048,0.4774634198933736,True
2,18,away,45,26,50,0.5777777777777777,0.433005327959445,0.7103151201831219,True
2,19,away,42,14,42,0.3333333333333333,0.2101228076197232,0.4844777298833308,True
2,20,away,46,15,51,0.32608695652173914,0.20865764564493358,0.47032537255672924,True
2,21,away,45,14,47,0.3111111111111111,0.19528525463541907,0.4566507998754897,True
2,22,away,53,20,56,0.37735849056603776,0.25936076571733824,0.5119334976390768,True
2,23,away,51,21,52,0.4117647058823529,0.28754192992486893,0.5483490725258254,True
2,24,away,55,12,59,0.21818181818181817,0.12945897827653213,0.3437028664047817,True
2,25,away,54,14,57,0.25925925925925924,0.16118507964793902,0.38931144880217294,True
2,26,away,48,14,51,0.2916666666666667,0.1824141606186338,0.43179527736167544,True
2,27,away,51,16,54,0.3137254901960784,0.20327509667785154,0.45027257516250324,True
2,28,away,70,22,71,0.3142857142857143,0.21762136964668138,0.4302735838754525,True
2,29,away,55,17,60,0.3090909090909091,0.20282124520577244,0.4402883915138273,True
2,30,away,77,22,82,0.2857142857142857,0.1968937869371719,0.3949005367773513,True
2,31,away,74,17,76,0.22972972972972974,0.1486706552074038,0.33746529266622677,True
2,32,away,79,24,82,0.3037974683544304,0.2134431893931135,0.41234868328921037,True
2,33,away,94,29,97,0.30851063829787234,0.22419957891141779,0.4078587684582082,True
2,34,away,94,26,99,0.2765957446808511,0.19629891934748106,0.37443581925041597,True
2,35,away,107,29,113,0.27102803738317754,0.19583435081989597,0.36209335863215086,True
2,36,away,121,34,130,0.2809917355371901,0.2085956290113622,0.36686639646732433,True
2,37,away,136,52,145,0.38235294117647056,0.3049747038923803,0.46619496235857777,True
2,38,away,170,44,189,0.25882352941176473,0.1988262165649868,0.3294800116335571,True
2,39,away,279,82,296,0.2939068100358423,0.24354133744996853,0.34987066417921187,True
3,0.0-0.5,away,52,0,70,0.0,0.0,0.06879459041288215,True
3,0.5-1.0,away,30,3,30,0.1,0.034599259959716175,0.2562144131526662,True
3,1.0-1.5,away,22,4,22,0.18181818181818182,0.07306766024105121,0.38517021976637866,False
3,1.5-2.0,away,14,2,14,0.14285714285714285,0.040093073737921175,0.39941907763863693,False
3,2,away,33,8,35,0.24242424242424243,0.12831561346647294,0.4102494868549029,True
3,3,away,31,5,31,0.16129032258064516,0.07092519905439934,0.3263470272497887,True
3,4,away,37,5,38,0.13513513513513514,0.059132072625076235,0.2797772747070557,True
